Toronto +//0- Historical Average Rents by Bedroom Type                        
2019 +ACI-October,+ACIAIg-1,142+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,361+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,563+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,730+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,465+ACIAIg-,a+ACI- ,                         
2020 +ACI-October,+ACIAIg-1,204+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,421+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,637+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,854+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,536+ACIAIg-,a+ACI- ,                         
2021 +ACI-October,+ACIAIg-1,217+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,439+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,680+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,918+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,570+ACIAIg-,a+ACI- ,                         
2022 +ACI-October,+ACIAIg-1,306+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,527+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,779+ACIAIg-,a+ACI- +ACI-,+ACIAIg-2,018+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,665+ACIAIg-,a+ACI- ,                         
2023 +ACI-October,+ACIAIg-1,414+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,691+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,958+ACIAIg-,a+ACI- +ACI-,+ACIAIg-2,168+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,830+ACIAIg-,a+ACI- ,                         
2024 +ACI-October,+ACIAIg-1,448+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,715+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,972+ACIAIg-,a+ACI- +ACI-,+ACIAIg-2,185+ACIAIg-,a+ACI- +ACI-,+ACIAIg-1,852+ACIAIg-,a+ACI- ,                         
                               
Notes                               
+ACI-The following letter codes are used to indicate the reliability of the estimates: a +//0- Excellent, b +//0- Very good, c +//0- Good, d +//0- Poor (Use with Caution))+ACI-                               
+ACoAKg- +//0- Data suppressed to protect confidentiality or data not statistically reliable                    
+//0- +//0- Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to +ACU- Change of Average Rent Tables).
Source,CMHC Rental Market Survey                            
